id,name,country,subregion,address,latitude,longitude,gameTitle,source,officialLocatorUrl,detailsUrl,needsGeocode,googleMapsSearchUrl
jp-28608,M's PARK刈谷店,Japan,Aichi,愛知県刈谷市稲場町３−２０６,35.0054807,137.0014037,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=28608,False,https://www.google.com/maps/search/?api=1&query=M&#x27;s+PARK刈谷店+愛知県刈谷市稲場町３−２０６
jp-28609,M's PARK豊田店,Japan,Aichi,愛知県豊田市寿町３−２１、２２,35.0566411,137.1400157,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=28609,False,https://www.google.com/maps/search/?api=1&query=M&#x27;s+PARK豊田店+愛知県豊田市寿町３−２１、２２
jp-19016,アピナ名古屋栄店,Japan,Aichi,愛知県名古屋市中区錦３‐１７‐１５ドン・キホーテ栄本店Ｂ１,35.1702098,136.9063906,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=19016,False,https://www.google.com/maps/search/?api=1&query=アピナ名古屋栄店+愛知県名古屋市中区錦３‐１７‐１５ドン・キホーテ栄本店Ｂ１
jp-19395,アピナ豊橋,Japan,Aichi,愛知県豊橋市藤沢町１４１ホリデイ・スクエアＡＭ棟１階,34.7445532,137.3713362,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=19395,False,https://www.google.com/maps/search/?api=1&query=アピナ豊橋+愛知県豊橋市藤沢町１４１ホリデイ・スクエアＡＭ棟１階
jp-20094,アミュージアム津島店,Japan,Aichi,愛知県津島市大字津島字北新開351番地ﾖｼﾂﾞﾔ津島本店ｼﾈﾏ館2F,35.1746003,136.7464136,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=20094,False,https://www.google.com/maps/search/?api=1&query=アミュージアム津島店+愛知県津島市大字津島字北新開351番地ﾖｼﾂﾞﾔ津島本店ｼﾈﾏ館2F
jp-21125,アミューズファクトリー常滑店,Japan,Aichi,愛知県常滑市りんくう町2-20-3イオンモール常滑2F,34.8823408923726,136.826091975641,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=21125,False,https://www.google.com/maps/search/?api=1&query=アミューズファクトリー常滑店+愛知県常滑市りんくう町2-20-3イオンモール常滑2F
jp-29270,アミューズメントプラザワイド,Japan,Aichi,愛知県東海市名和町二番割上16-2,35.0651865416666,136.911898700069,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=29270,False,https://www.google.com/maps/search/?api=1&query=アミューズメントプラザワイド+愛知県東海市名和町二番割上16-2
jp-26295,アミューズメントワールドメトロポリス小牧,Japan,Aichi,愛知県小牧市村中新町３３,35.2959343275161,136.905616616641,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=26295,False,https://www.google.com/maps/search/?api=1&query=アミューズメントワールドメトロポリス小牧+愛知県小牧市村中新町３３
jp-19523,ゲーム アルカナ,Japan,Aichi,愛知県稲沢市朝府町２−３３,35.2518633,136.7788012,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=19523,False,https://www.google.com/maps/search/?api=1&query=ゲーム+アルカナ+愛知県稲沢市朝府町２−３３
jp-28592,ゲームキングジョイ,Japan,Aichi,愛知県名古屋市中区栄３‐３‐３２,35.1679815,136.9049511,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=28592,False,https://www.google.com/maps/search/?api=1&query=ゲームキングジョイ+愛知県名古屋市中区栄３‐３‐３２
jp-19086,ゲームパニック大須,Japan,Aichi,愛知県名古屋市中区大須3-30-93 メガタウンB1F,35.1600309,136.9053767,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=19086,False,https://www.google.com/maps/search/?api=1&query=ゲームパニック大須+愛知県名古屋市中区大須3-30-93+メガタウンB1F
jp-28834,ゲームパニック大高,Japan,Aichi,愛知県名古屋市緑区忠治山２０１番地,35.0485212,136.9497129,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=28834,False,https://www.google.com/maps/search/?api=1&query=ゲームパニック大高+愛知県名古屋市緑区忠治山２０１番地
jp-28328,コムテックスクウェア,Japan,Aichi,愛知県名古屋市中区金山1-16-8,35.1439706,136.8999023,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=28328,False,https://www.google.com/maps/search/?api=1&query=コムテックスクウェア+愛知県名古屋市中区金山1-16-8
jp-28486,コムテックタワー,Japan,Aichi,愛知県名古屋市中村区名駅４−１０−２０,35.1694446,136.8859667,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=28486,False,https://www.google.com/maps/search/?api=1&query=コムテックタワー+愛知県名古屋市中村区名駅４−１０−２０
jp-18739,ソユーゲームフィールド赤池店,Japan,Aichi,愛知県日進市赤池町箕ノ手１番プライムツリー赤池３階,35.108621,137.0243969,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=18739,False,https://www.google.com/maps/search/?api=1&query=ソユーゲームフィールド赤池店+愛知県日進市赤池町箕ノ手１番プライムツリー赤池３階
jp-23866,ソユーゲームフィールド鳴海店,Japan,Aichi,名古屋市緑区鳴海町字伝治山３番地９ アピタ鳴海店２Ｆ,35.0941212637578,136.95934499259,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=23866,False,https://www.google.com/maps/search/?api=1&query=ソユーゲームフィールド鳴海店+名古屋市緑区鳴海町字伝治山３番地９+アピタ鳴海店２Ｆ
jp-20221,タイトーステーションフェドラ大須店,Japan,Aichi,愛知県名古屋市中区大須３−３０−３１,35.1594771,136.9054347,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=20221,False,https://www.google.com/maps/search/?api=1&query=タイトーステーションフェドラ大須店+愛知県名古屋市中区大須３−３０−３１
jp-24209,タイトーステーション豊田ＧＡＺＡ,Japan,Aichi,愛知県豊田市喜多町１−１４０ＧＡＺＡ３階,35.0880302,137.1572653,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=24209,False,https://www.google.com/maps/search/?api=1&query=タイトーステーション豊田ＧＡＺＡ+愛知県豊田市喜多町１−１４０ＧＡＺＡ３階
jp-18922,タイトーＦステーション弥富店,Japan,Aichi,愛知県弥富市五明町蒲原１３７１‐４,35.1155664,136.7178037,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=18922,False,https://www.google.com/maps/search/?api=1&query=タイトーＦステーション弥富店+愛知県弥富市五明町蒲原１３７１‐４
jp-19383,ダイナソアエイジ,Japan,Aichi,愛知県大府市東新町三丁目８８番地,35.0310079641722,136.956274471406,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=19383,False,https://www.google.com/maps/search/?api=1&query=ダイナソアエイジ+愛知県大府市東新町三丁目８８番地
jp-18710,バンダイナムコＣｒｏｓｓＳｔｏｒｅ名古屋,Japan,Aichi,愛知県名古屋市西区二方町４０番本棟４階,35.2254187,136.8843421,maimai DX Japan,maimai JP official / ALL.Net,https://location.am-all.net/alm/location?gm=96&ct=1000&at=22,https://shop.am-all.net/alm/shop?gm=96&astep=22&sid=18710,False,https://www.google.com/maps/search/?api=1&query=バンダイナムコＣｒｏｓｓＳｔｏｒｅ名古屋+愛知県名古屋市西区二方町４０番本棟４階
