id,name,country,subregion,address,latitude,longitude,gameTitle,source,officialLocatorUrl,detailsUrl,needsGeocode,googleMapsSearchUrl
intl-1012-18399,AMUSE,Australia,,"16 WITCOMBE STREET, ADELAIDE, SA5000",-34.9299206,138.5947976,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=18399&lang=en,False,https://www.google.com/maps/search/?api=1&query=AMUSE+16+WITCOMBE+STREET%2C+ADELAIDE%2C+SA5000
intl-1012-18755,ARCHIE BROTHERS CCW,Australia,,"285 Springvale Road, Glen Waverley, Victoria, Australia, 3150",-37.8812875,145.1647251,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=18755&lang=en,False,https://www.google.com/maps/search/?api=1&query=ARCHIE+BROTHERS+CCW+285+Springvale+Road%2C+Glen+Waverley%2C+Victoria%2C+Australia%2C+3150
intl-1012-18636,ARCHIE BROTHERS QV,Australia,,"45 Little Londsdale Street, Melbourne, Victoria, 3000",-37.8093821,144.9712286,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=18636&lang=en,False,https://www.google.com/maps/search/?api=1&query=ARCHIE+BROTHERS+QV+45+Little+Londsdale+Street%2C+Melbourne%2C+Victoria%2C+3000
intl-1012-19218,B.LUCKY&SONS MELBOURNE,Australia,,"Level 3, 211 Latrobe St., Melrourne, Vic,3000",-37.8105556,144.9630556,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=19218&lang=en,False,https://www.google.com/maps/search/?api=1&query=B.LUCKY%26SONS+MELBOURNE+Level+3%2C+211+Latrobe+St.%2C+Melrourne%2C+Vic%2C3000
intl-1012-18972,ENTERTAINMENT PARK,Australia,,361 Milperra Rd Bankstown NSW 2200,-33.9294993,150.9905704,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=18972&lang=en,False,https://www.google.com/maps/search/?api=1&query=ENTERTAINMENT+PARK+361+Milperra+Rd+Bankstown+NSW+2200
intl-1012-19214,FORTRESS MELBOURNE,Australia,,"23 CALEDONIAN LANE, MELBOURNE, VICTORIA, AUSTRALIA 3000",-37.8121261,144.9640502,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=19214&lang=en,False,https://www.google.com/maps/search/?api=1&query=FORTRESS+MELBOURNE+23+CALEDONIAN+LANE%2C+MELBOURNE%2C+VICTORIA%2C+AUSTRALIA+3000
intl-1012-18780,FUNHOUSE BRISBANE CITY,Australia,,"Level 3/91 Queen St, Brisbane City QLD 4000",-27.4706058,153.0248758,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=18780&lang=en,False,https://www.google.com/maps/search/?api=1&query=FUNHOUSE+BRISBANE+CITY+Level+3%2F91+Queen+St%2C+Brisbane+City+QLD+4000
intl-1012-18779,FUNHOUSE SUNNYBANK,Australia,,"Corner Mains & McCullough Roads, Sunnybank QLD 4109",,,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=18779&lang=en,True,https://www.google.com/maps/search/?api=1&query=FUNHOUSE+SUNNYBANK+Corner+Mains+%26+McCullough+Roads%2C+Sunnybank+QLD+4109
intl-1012-19217,IPLAY CAROUSEL,Australia,,"SHOP MM223, 1382 ALBANY HWY, CANNINGTON, WA AUSTRALIA 6107",-32.0199279,115.9388969,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=19217&lang=en,False,https://www.google.com/maps/search/?api=1&query=IPLAY+CAROUSEL+SHOP+MM223%2C+1382+ALBANY+HWY%2C+CANNINGTON%2C+WA+AUSTRALIA+6107
intl-1012-18937,IPLAY WETHERILL PARK,Australia,,"561/583 Polding St, Wetherill Park NSW 2164",-33.8593157,150.8978985,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=18937&lang=en,False,https://www.google.com/maps/search/?api=1&query=IPLAY+WETHERILL+PARK+561%2F583+Polding+St%2C+Wetherill+Park+NSW+2164
intl-1012-19453,KINGPIN CANBERRA,Australia,,"Canberra Centre Bunda Street,Canberra City ACT 2608",-35.2802271,149.1332559,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=19453&lang=en,False,https://www.google.com/maps/search/?api=1&query=KINGPIN+CANBERRA+Canberra+Centre+Bunda+Street%2CCanberra+City+ACT+2608
intl-1012-18430,KINGPIN MELBOURNE,Australia,,"260 Collins St, MELBOURNE VIC 3000",-37.8152725,144.9650986,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=18430&lang=en,False,https://www.google.com/maps/search/?api=1&query=KINGPIN+MELBOURNE+260+Collins+St%2C+MELBOURNE+VIC+3000
intl-1012-18926,KINGPIN NORTH STRATHFIELD,Australia,,"Building H3/3-5 George St, North Strathfield NSW 2137",-33.8632365,151.0889051,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=18926&lang=en,False,https://www.google.com/maps/search/?api=1&query=KINGPIN+NORTH+STRATHFIELD+Building+H3%2F3-5+George+St%2C+North+Strathfield+NSW+2137
intl-1012-19803,KINGPIN(CHERMSIDE),Australia,,"Westfield Chermside,Corner Gympie & HamiltonRd,Chermside QLD4032",-27.3826351,153.0325653,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=19803&lang=en,False,https://www.google.com/maps/search/?api=1&query=KINGPIN%28CHERMSIDE%29+Westfield+Chermside%2CCorner+Gympie+%26+HamiltonRd%2CChermside+QLD4032
intl-1012-19809,KINGPIN(CROWN),Australia,,"Malbourne,CrownEntertainmentComplex,WhitemanSt,Southbank,VIC3006",-37.829,144.957,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=19809&lang=en,False,https://www.google.com/maps/search/?api=1&query=KINGPIN%28CROWN%29+Malbourne%2CCrownEntertainmentComplex%2CWhitemanSt%2CSouthbank%2CVIC3006
intl-1012-18973,KOKO AMESEMENT HORNSBY,Australia,,Shop 4000-1/236 Pacific Hwy Horsby NSW 2077,-33.7043415,151.1006823,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=18973&lang=en,False,https://www.google.com/maps/search/?api=1&query=KOKO+AMESEMENT+HORNSBY+Shop+4000-1%2F236+Pacific+Hwy+Horsby+NSW+2077
intl-1012-19464,KOKO AMUSEMENT 614,Australia,,Basement 614 George ST Sydney NSW 2000,-33.8757593,151.2067759,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=19464&lang=en,False,https://www.google.com/maps/search/?api=1&query=KOKO+AMUSEMENT+614+Basement+614+George+ST+Sydney+NSW+2000
intl-1012-19341,KOKO AMUSEMENT BURWOOD,Australia,,"lot29 27-31 belmore St,.Burwood,2134,NSW",-33.8784196,151.102158,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=19341&lang=en,False,https://www.google.com/maps/search/?api=1&query=KOKO+AMUSEMENT+BURWOOD+lot29+27-31+belmore+St%2C.Burwood%2C2134%2CNSW
intl-1012-18527,KOKO AMUSEMENTS DIXON,Australia,,"Level 1 & 2/1 Dixon Street, Haymerket, Sydney",,,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=18527&lang=en,True,https://www.google.com/maps/search/?api=1&query=KOKO+AMUSEMENTS+DIXON+Level+1+%26+2%2F1+Dixon+Street%2C+Haymerket%2C+Sydney
intl-1012-19129,KOKO HURSTVILLE,Australia,,"G03/288 Forest Road, HurstvilleNSW",-33.9669703,151.1032215,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=19129&lang=en,False,https://www.google.com/maps/search/?api=1&query=KOKO+HURSTVILLE+G03%2F288+Forest+Road%2C+HurstvilleNSW
intl-1012-18431,PARADIGM ZONE,Australia,,"58 Gawler Place, Adelaide SA 5000",-34.923429,138.6021461,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=18431&lang=en,False,https://www.google.com/maps/search/?api=1&query=PARADIGM+ZONE+58+Gawler+Place%2C+Adelaide+SA+5000
intl-1012-18686,PLAYit,Australia,,Shop 14-22 Southgate Shopping Centre3 Southgate Ave,,,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1012&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1012&sid=18686&lang=en,True,https://www.google.com/maps/search/?api=1&query=PLAYit+Shop+14-22+Southgate+Shopping+Centre3+Southgate+Ave
